Bibliography,Species,Refid,Publicationyear,Modelsystem,Strainorpatienttype,Sex,Age,Route,Duration,Durationunit,Drug,Purity,Control,Vehicle,Compound,Endpointtype,Endpointname,Endpointunits,Tissue/sex,DailyDose,UnitofDose,Timepoint,"Numberofexperimentalunits(animals,humans)",Effectvalue,Variability,UnitofVariability,note,Histopathcall,study_ID
"Anandharajan, R.,Sayyed, S. G.,Doshi, L. S.,Dixit, P.,Chandak, P. G.,Dixit, A. V.,Brahma, M. K.,Deshmukh, N. J.,Gupte, R.,Damre, A.,Suthar, J.,Padigaru, M.,Sharma, S. D.,Nemmani, K. V..  18F9 (4-(3,6-bis (ethoxycarbonyl)-4,5,6,7-tetrahydrothieno (2,3-c) pyridin-2-ylamino)-4-oxobutanoic acid) enhances insulin-mediated glucose uptake in vitro and exhibits antidiabetic activity in vivo in db/db mice. Metabolism.  2009. 58:1503-16",Mouse,13,2009,Experimental animal,C57BL/6J mice and Wistar Rats,Male,7-9 weeks,Gavage,10,Days,Rosiglitazone/Avandia,,,,Rosiglitazone/Avandia,LFT,ALT,IU/L,,0,mg/kg,Day 10,8,36.1,5.3,SE,,,14
"Anandharajan, R.,Sayyed, S. G.,Doshi, L. S.,Dixit, P.,Chandak, P. G.,Dixit, A. V.,Brahma, M. K.,Deshmukh, N. J.,Gupte, R.,Damre, A.,Suthar, J.,Padigaru, M.,Sharma, S. D.,Nemmani, K. V..  18F9 (4-(3,6-bis (ethoxycarbonyl)-4,5,6,7-tetrahydrothieno (2,3-c) pyridin-2-ylamino)-4-oxobutanoic acid) enhances insulin-mediated glucose uptake in vitro and exhibits antidiabetic activity in vivo in db/db mice. Metabolism.  2009. 58:1503-16",Mouse,13,2009,Experimental animal,C57BL/6J mice and Wistar Rats,Male,7-9 weeks,Gavage,10,Days,Rosiglitazone/Avandia,,,,Rosiglitazone/Avandia,LFT,ALT,IU/L,,10,mg/kg,Day 10,8,59.3,9.5,SE,,,14
"Anandharajan, R.,Sayyed, S. G.,Doshi, L. S.,Dixit, P.,Chandak, P. G.,Dixit, A. V.,Brahma, M. K.,Deshmukh, N. J.,Gupte, R.,Damre, A.,Suthar, J.,Padigaru, M.,Sharma, S. D.,Nemmani, K. V..  18F9 (4-(3,6-bis (ethoxycarbonyl)-4,5,6,7-tetrahydrothieno (2,3-c) pyridin-2-ylamino)-4-oxobutanoic acid) enhances insulin-mediated glucose uptake in vitro and exhibits antidiabetic activity in vivo in db/db mice. Metabolism.  2009. 58:1503-16",Rat,13,2009,Experimental animal,"Female Wistar rats (6 weeks of age), male
C57BL/6J mice (7-9 weeks of age)

Mice were treated with 0.5% CMC,
rosiglitazone (5 mg/kg)  orally twice
a day for 10 days.

female Wistar rats were administered
rosiglitazone (40 mg/kg) once daily for 28 days",Female,6 weeks old,Gavage,28,Days,Rosiglitazone/Avandia,,,,Rosiglitazone/Avandia,LFT,ALT,IU/L,,0,mg/kg,Day 28,8,40.4,2.6,SE,,,20
"Anandharajan, R.,Sayyed, S. G.,Doshi, L. S.,Dixit, P.,Chandak, P. G.,Dixit, A. V.,Brahma, M. K.,Deshmukh, N. J.,Gupte, R.,Damre, A.,Suthar, J.,Padigaru, M.,Sharma, S. D.,Nemmani, K. V..  18F9 (4-(3,6-bis (ethoxycarbonyl)-4,5,6,7-tetrahydrothieno (2,3-c) pyridin-2-ylamino)-4-oxobutanoic acid) enhances insulin-mediated glucose uptake in vitro and exhibits antidiabetic activity in vivo in db/db mice. Metabolism.  2009. 58:1503-16",Rat,13,2009,Experimental animal,"Female Wistar rats (6 weeks of age), male
C57BL/6J mice (7-9 weeks of age)

Mice were treated with 0.5% CMC,
rosiglitazone (5 mg/kg)  orally twice
a day for 10 days.

female Wistar rats were administered
rosiglitazone (40 mg/kg) once daily for 28 days",Female,6 weeks old,Gavage,28,Days,Rosiglitazone/Avandia,,,,Rosiglitazone/Avandia,LFT,ALT,IU/L,,40,mg/kg,Day 28,8,41.6,6.7,SE,,,20
"Aramwit, P.,Bunmee, P.,Supasyndh, O..  Effectiveness and tolerability of rosiglitazone on insulin resistance and body composition in nondiabetic Thai patients undergoing continuous ambulatory peritoneal dialysis: A 12-week pilot study. Current Therapeutic Research - Clinical and Experimental.  2009. 70:377-389",Human,16,2009,Human controlled trial,Thai,Male + Female,35-85 years,p.o.,12,Weeks,Rosiglitazone/Avandia,,Baseline,,Rosiglitazone/Avandia,LFT,ALT,IU/L,,0,mg,Week 12,12,23.42,18.25,SD,,,1
"Aramwit, P.,Bunmee, P.,Supasyndh, O..  Effectiveness and tolerability of rosiglitazone on insulin resistance and body composition in nondiabetic Thai patients undergoing continuous ambulatory peritoneal dialysis: A 12-week pilot study. Current Therapeutic Research - Clinical and Experimental.  2009. 70:377-389",Human,16,2009,Human controlled trial,Thai,Male + Female,35-85 years,p.o.,12,Weeks,Rosiglitazone/Avandia,,Baseline,,Rosiglitazone/Avandia,LFT,ALT,IU/L,,4,mg,Week 12,12,24.5,12.25,SD,,,1
"Beysen, C.,Murphy, E. J.,Nagaraja, H.,Decaris, M.,Riiff, T.,Fong, A.,Hellerstein, M. K.,Boyle, P. J..  A pilot study of the effects of pioglitazone and rosiglitazone on de novo lipogenesis in type 2 diabetes. Journal of Lipid Research.  2008. 49:2657-2663",Human,36,2008,Human controlled open-label trial,,Male + Female,56+/-6,p.o.,20,Weeks,Rosiglitazone/Avandia,,Pioglitazone,,Rosiglitazone/Avandia,LFT,ALT,U/L,,0,mg,20 weeks,6,36,10,SD,,,9
"Beysen, C.,Murphy, E. J.,Nagaraja, H.,Decaris, M.,Riiff, T.,Fong, A.,Hellerstein, M. K.,Boyle, P. J..  A pilot study of the effects of pioglitazone and rosiglitazone on de novo lipogenesis in type 2 diabetes. Journal of Lipid Research.  2008. 49:2657-2663",Human,36,2008,Human controlled open-label trial,,Male + Female,56+/-6,p.o.,20,Weeks,Rosiglitazone/Avandia,,Pioglitazone,,Rosiglitazone/Avandia,LFT,ALT,U/L,,8,mg,20 weeks,6,30,10,SD,,,9
"Chalasani, N.,Teal, E.,Hall, S. D..  Effect of rosiglitazone on serum liver biochemistries in diabetic patients with normal and elevated baseline liver enzymes. Am J Gastroenterol.  2005. 100:1317-21",Human,58,2005,Human retrospective cohort trial,T2D patients with normal LFT,Male + Female,55 +/- 11,,12,Months,Rosiglitazone/Avandia,,,,Rosiglitazone/Avandia,LFT,ALT,IU/L,12 months,0,mg/day,12 month,628,24,11,SD,,,11
"Chalasani, N.,Teal, E.,Hall, S. D..  Effect of rosiglitazone on serum liver biochemistries in diabetic patients with normal and elevated baseline liver enzymes. Am J Gastroenterol.  2005. 100:1317-21",Human,58,2005,Human retrospective cohort trial,T2D patients with normal LFT,Male + Female,55 +/- 11,,12,Months,Rosiglitazone/Avandia,,,,Rosiglitazone/Avandia,LFT,ALT,IU/L,12 months,4.4,mg/day,12 month,628,26,23,SD,,,11
