Ticker,Name,Asset Class,Weight (%)
THRM ,Gentherm Inc,Equity,2.855
TSLA ,Tesla Inc,Equity,2.201
NIO ,NIO Inc ADR,Equity,2.169
REGI ,Renewable Energy Group Inc,Equity,1.908
ENPH ,Enphase Energy Inc,Equity,5.113
BLDP ,Ballard Power Systems Inc,Equity,3.636
HXL ,Hexcel Corp,Equity,3.326
RUN ,Sunrun Inc,Equity,2.964
PLUG ,Plug Power Inc,Equity,2.858
WLDN ,Willdan Group Inc,Equity,2.592
BE ,Bloom Energy Corp,Equity,2.552
PWR ,Quanta Services Inc,Equity,2.476
MYRG ,MYR Group Inc,Equity,2.452
AMRC ,Ameresco Inc,Equity,2.402
TPIC ,TPI Composites Inc,Equity,2.299
AMSC ,American Superconductor Corp,Equity,2.117
LYTS ,LSI Industries Inc,Equity,0.661
HYGS ,Hydrogenics Corp,Equity,0.58
AQMS ,Aqua Metals Inc,Equity,0.309
SEDG ,SolarEdge Technologies Inc,Equity,3.874
SPWR ,SunPower Corp,Equity,3.833
DQ ,Daqo New Energy Corp ADR,Equity,3.488
FSLR ,First Solar Inc,Equity,3.352
JKS ,JinkoSolar Holding Co Ltd ADR,Equity,3.166
ITRI ,Itron Inc,Equity,3.15
CSIQ ,Canadian Solar Inc,Equity,2.878
AEIS ,Advanced Energy Industries Inc,Equity,2.798
VECO ,Veeco Instruments Inc,Equity,2.784
CREE ,Cree Inc,Equity,2.751
OLED ,Universal Display Corp,Equity,2.516
ASYS ,Amtech Systems Inc,Equity,0.532
APD ,Air Products & Chemicals Inc,Equity,2.934
ALB ,Albemarle Corp,Equity,2.461
SQM ,Sociedad Quimica y Minera de Chile SA ADR,Equity,2.394
ORA ,Ormat Technologies Inc,Equity,3.288
AY ,Atlantica Yield plc,Equity,2.992
TERP ,TerraForm Power Inc,Equity,2.682
PEGI ,Pattern Energy Group Inc,Equity,2.656
