List,Symbol
S&P 500,A
S&P 500,AAL
S&P 500,AAP
S&P 500,AAPL
S&P 500,ABBV
S&P 500,ABC
S&P 500,ABMD
S&P 500,ABT
S&P 500,ACN
S&P 500,ADBE
S&P 500,ADI
S&P 500,ADM
S&P 500,ADP
S&P 500,ADS
S&P 500,ADSK
S&P 500,AEE
S&P 500,AEP
S&P 500,AES
S&P 500,AFL
S&P 500,AGN
S&P 500,AIG
S&P 500,AIV
S&P 500,AIZ
S&P 500,AJG
S&P 500,AKAM
S&P 500,ALB
S&P 500,ALGN
S&P 500,ALK
S&P 500,ALL
S&P 500,ALLE
S&P 500,ALXN
S&P 500,AMAT
S&P 500,AMD
S&P 500,AME
S&P 500,AMG
S&P 500,AMGN
S&P 500,AMP
S&P 500,AMT
S&P 500,AMZN
S&P 500,ANET
S&P 500,ANSS
S&P 500,ANTM
S&P 500,AON
S&P 500,AOS
S&P 500,APA
S&P 500,APC
S&P 500,APD
S&P 500,APH
S&P 500,APTV
S&P 500,ARE
S&P 500,ARNC
S&P 500,ATO
S&P 500,ATVI
S&P 500,AVB
S&P 500,AVGO
S&P 500,AVY
S&P 500,AWK
S&P 500,AXP
S&P 500,AZO
S&P 500,BA
S&P 500,BAC
S&P 500,BAX
S&P 500,BBT
S&P 500,BBY
S&P 500,BDX
S&P 500,BEN
S&P 500,BF.B
S&P 500,BHGE
S&P 500,BIIB
S&P 500,BK
S&P 500,BKNG
S&P 500,BLK
S&P 500,BLL
S&P 500,BMY
S&P 500,BR
S&P 500,BRK.B
S&P 500,BSX
S&P 500,BWA
S&P 500,BXP
S&P 500,C
S&P 500,CAG
S&P 500,CAH
S&P 500,CAT
S&P 500,CB
S&P 500,CBOE
S&P 500,CBRE
S&P 500,CBS
S&P 500,CCI
S&P 500,CCL
S&P 500,CDNS
S&P 500,CE
S&P 500,CELG
S&P 500,CERN
S&P 500,CF
S&P 500,CFG
S&P 500,CHD
S&P 500,CHRW
S&P 500,CHTR
S&P 500,CI
S&P 500,CINF
S&P 500,CL
S&P 500,CLX
S&P 500,CMA
S&P 500,CMCSA
S&P 500,CME
S&P 500,CMG
S&P 500,CMI
S&P 500,CMS
S&P 500,CNC
S&P 500,CNP
S&P 500,COF
S&P 500,COG
S&P 500,COO
S&P 500,COP
S&P 500,COST
S&P 500,COTY
S&P 500,CPB
S&P 500,CPRI
S&P 500,CPRT
S&P 500,CRM
S&P 500,CSCO
S&P 500,CSX
S&P 500,CTAS
S&P 500,CTL
S&P 500,CTSH
S&P 500,CTXS
S&P 500,CVS
S&P 500,CVX
S&P 500,CXO
S&P 500,D
S&P 500,DAL
S&P 500,DE
S&P 500,DFS
S&P 500,DG
S&P 500,DGX
S&P 500,DHI
S&P 500,DHR
S&P 500,DIS
S&P 500,DISCA
S&P 500,DISCK
S&P 500,DISH
S&P 500,DLR
S&P 500,DLTR
S&P 500,DOV
S&P 500,DOW
S&P 500,DRE
S&P 500,DRI
S&P 500,DTE
S&P 500,DUK
S&P 500,DVA
S&P 500,DVN
S&P 500,DWDP
S&P 500,DXC
S&P 500,EA
S&P 500,EBAY
S&P 500,ECL
S&P 500,ED
S&P 500,EFX
S&P 500,EIX
S&P 500,EL
S&P 500,EMN
S&P 500,EMR
S&P 500,EOG
S&P 500,EQIX
S&P 500,EQR
S&P 500,ES
S&P 500,ESS
S&P 500,ETFC
S&P 500,ETN
S&P 500,ETR
S&P 500,EVRG
S&P 500,EW
S&P 500,EXC
S&P 500,EXPD
S&P 500,EXPE
S&P 500,EXR
S&P 500,F
S&P 500,FANG
S&P 500,FAST
S&P 500,FB
S&P 500,FBHS
S&P 500,FCX
S&P 500,FDX
S&P 500,FE
S&P 500,FFIV
S&P 500,FIS
S&P 500,FISV
S&P 500,FITB
S&P 500,FL
S&P 500,FLIR
S&P 500,FLR
S&P 500,FLS
S&P 500,FLT
S&P 500,FMC
S&P 500,FOX
S&P 500,FOXA
S&P 500,FRC
S&P 500,FRT
S&P 500,FTI
S&P 500,FTNT
S&P 500,FTV
S&P 500,GD
S&P 500,GE
S&P 500,GILD
S&P 500,GIS
S&P 500,GLW
S&P 500,GM
S&P 500,GOOG
S&P 500,GOOGL
S&P 500,GPC
S&P 500,GPN
S&P 500,GPS
S&P 500,GRMN
S&P 500,GS
S&P 500,GWW
S&P 500,HAL
S&P 500,HAS
S&P 500,HBAN
S&P 500,HBI
S&P 500,HCA
S&P 500,HCP
S&P 500,HD
S&P 500,HES
S&P 500,HFC
S&P 500,HIG
S&P 500,HII
S&P 500,HLT
S&P 500,HOG
S&P 500,HOLX
S&P 500,HON
S&P 500,HP
S&P 500,HPE
S&P 500,HPQ
S&P 500,HRB
S&P 500,HRL
S&P 500,HRS
S&P 500,HSIC
S&P 500,HST
S&P 500,HSY
S&P 500,HUM
S&P 500,IBM
S&P 500,ICE
S&P 500,IDXX
S&P 500,IFF
S&P 500,ILMN
S&P 500,INCY
S&P 500,INFO
S&P 500,INTC
S&P 500,INTU
S&P 500,IP
S&P 500,IPG
S&P 500,IPGP
S&P 500,IQV
S&P 500,IR
S&P 500,IRM
S&P 500,ISRG
S&P 500,IT
S&P 500,ITW
S&P 500,IVZ
S&P 500,JBHT
S&P 500,JCI
S&P 500,JEC
S&P 500,JEF
S&P 500,JKHY
S&P 500,JNJ
S&P 500,JNPR
S&P 500,JPM
S&P 500,JWN
S&P 500,K
S&P 500,KEY
S&P 500,KEYS
S&P 500,KHC
S&P 500,KIM
S&P 500,KLAC
S&P 500,KMB
S&P 500,KMI
S&P 500,KMX
S&P 500,KO
S&P 500,KR
S&P 500,KSS
S&P 500,KSU
S&P 500,L
S&P 500,LB
S&P 500,LEG
S&P 500,LEN
S&P 500,LH
S&P 500,LIN
S&P 500,LKQ
S&P 500,LLL
S&P 500,LLY
S&P 500,LMT
S&P 500,LNC
S&P 500,LNT
S&P 500,LOW
S&P 500,LRCX
