combinedID,comparedID,DailyDose.x,Timepoint.x,samplesize_treated,MeanofEffectvalue_treated,Meanofvaribility_treated,DailyDose.y,Timepoint.y,samplesize_control,MeanofEffectvalue_control,Meanofvaribility_control,Bibliography,Year,Species,Endpointname,Endpointunit,Drug,UnitofDose,UnitofVariability,t,SE,Effectsize,UL,LL,Effectpercent
1.1,1.1.1,4,Week 12,12,28.8,16.86,4,Baseline,12,29.42,24.05,"Aramwit, P.,Bunmee, P.,Supasyndh, O..  Effectiveness and tolerability of rosiglitazone on insulin resistance and body composition in nondiabetic Thai patients undergoing continuous ambulatory peritoneal dialysis: A 12-week pilot study. Current Therapeutic Research - Clinical and Experimental.  2009. 70:377-389",2009,Human,AST,IU/L,Rosiglitazone/Avandia,mg,SD,2.073873068,23.86090544,-0.62,48.86448916,-50.10448916,97.89%
100.1,100.1.1,20,7,5,0.038,0.156524758,0,7,10,0.038,0.006324555,"Egerod, F. L.,Brunner, N.,Svendsen, J. E.,Oleksiewicz, M. B..  PPAR alpha and PPAR gamma are co-expressed, functional and show positive interactions in the rat urinary bladder urothelium. Journal of Applied Toxicology.  2010. 30:151-162",2010,Rat,"Liver weight, relative",%,Rosiglitazone/Avandia,mg/kg,SD,2.160368656,0.171488506,0,0.370478393,-0.370478393,100.00%
100.1,100.1.2,8,7,5,0.037,0.002236068,0,7,10,0.038,0.006324555,"Egerod, F. L.,Brunner, N.,Svendsen, J. E.,Oleksiewicz, M. B..  PPAR alpha and PPAR gamma are co-expressed, functional and show positive interactions in the rat urinary bladder urothelium. Journal of Applied Toxicology.  2010. 30:151-162",2010,Rat,"Liver weight, relative",%,Rosiglitazone/Avandia,mg/kg,SD,2.160368656,0.003782551,-0.001,0.007171705,-0.009171705,97.37%
101.1,101.1.1,20,7,5,12.5,5.590169944,0,7,10,12.5,7.90569415,"Egerod, F. L.,Brunner, N.,Svendsen, J. E.,Oleksiewicz, M. B..  PPAR alpha and PPAR gamma are co-expressed, functional and show positive interactions in the rat urinary bladder urothelium. Journal of Applied Toxicology.  2010. 30:151-162",2010,Rat,"Liver weight, absolute",g,Rosiglitazone/Avandia,mg/kg,SD,2.160368656,7.104982001,0,15.34938042,-15.34938042,100.00%
101.1,101.1.2,8,7,5,12,2.236067977,0,7,10,12.5,7.90569415,"Egerod, F. L.,Brunner, N.,Svendsen, J. E.,Oleksiewicz, M. B..  PPAR alpha and PPAR gamma are co-expressed, functional and show positive interactions in the rat urinary bladder urothelium. Journal of Applied Toxicology.  2010. 30:151-162",2010,Rat,"Liver weight, absolute",g,Rosiglitazone/Avandia,mg/kg,SD,2.160368656,4.356692465,-0.5,8.912061846,-9.912061846,96.00%
108.1,108.1.1,200,44 weeks (LETO),8,14.3,0.848528137,200,Baseline,8,19.45,2.121320344,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,"Liver weight, absolute",g/rat,Troglitazone/Rezulin,mg/100g,SD,2.144786688,1.35,-5.15,-2.254537971,-8.045462029,73.52%
108.1,108.1.2,200,44 weeks (OLETF),8,19.6,1.414213562,200,Baseline,8,19.45,2.121320344,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,"Liver weight, absolute",g/rat,Troglitazone/Rezulin,mg/100g,SD,2.144786688,2.015564437,0.15,4.472955773,-4.172955773,100.77%
108.1,108.1.3,200,60 weeks (LETO),8,13.1,1.697056275,200,Baseline,8,19.45,2.121320344,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,"Liver weight, absolute",g/rat,Troglitazone/Rezulin,mg/100g,SD,2.144786688,2.366960076,-6.35,-1.273375539,-11.42662446,67.35%
108.1,108.1.4,200,60 weeks (OLETF),8,19.5,1.697056275,200,Baseline,8,19.45,2.121320344,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,"Liver weight, absolute",g/rat,Troglitazone/Rezulin,mg/100g,SD,2.144786688,2.366960076,0.05,5.126624461,-5.026624461,100.26%
109.1,109.1.1,200,44 weeks (LETO),8,25.9,0.565685425,200,Baseline,8,31.1,3.676955262,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,"Liver weight, relative",mg/g bodyweight,Troglitazone/Rezulin,mg/100g,SD,2.144786688,1.5,-5.2,-1.982819968,-8.417180032,83.28%
