hID,impressions,posts impressions,video views,views,clicks,impressions to posts impressions,impressions to video views,impressions to views,impressions to clicks
-9.17704E+18,204687,202509,52367,2326,0,98.94,25.58,1.14,0
-9.11405E+18,77214,64998,12544,14955,0,84.18,16.25,19.37,0
-9.10876E+18,489466,482494,122366,7476,168,98.58,25,1.53,0.03
-9.09591E+18,162985,143872,17678,6339,58,88.27,10.85,3.89,0.04
-9.08123E+18,527109,394799,73974,3621,376,74.9,14.03,0.69,0.07
-9.04657E+18,1280,874,28,751,0,68.28,2.19,58.67,0
-9.04102E+18,81321,77623,148838,1203,36,95.45,183.03,1.48,0.04
-9.03636E+18,71513639,71053813,153388,59538,0,99.36,0.21,0.08,0
-8.95789E+18,33,14,0,10,0,42.42,0,30.3,0
-8.93907E+18,16025910,15312493,4337958,81255,0,95.55,27.07,0.51,0
-8.93088E+18,3,0,0,3,0,0,0,100,0
-8.92635E+18,13538,12456,970,1048,0,92.01,7.17,7.74,0
-8.91701E+18,8581,8078,71,486,0,94.14,0.83,5.66,0
-8.89557E+18,209557,102294,25635,19817,0,48.81,12.23,9.46,0
-8.8672E+18,464274385,463767642,71090807,235574,2726,99.89,15.31,0.05,0
-8.85906E+18,393945007,388881842,98433850,616122,14331,98.71,24.99,0.16,0
-8.84185E+18,43883,31995,2497,4002,0,72.91,5.69,9.12,0
-8.82454E+18,5,1,0,3,0,20,0,60,0
-8.73005E+18,2417306057,2412223194,708703692,5160944,62166,99.79,29.32,0.21,0
-8.714E+18,104454373,103477604,25732855,711604,8059,99.06,24.64,0.68,0.01
-8.70677E+18,19,3,0,11,0,15.79,0,57.89,0
-8.66134E+18,4102,3428,326,868,0,83.57,7.95,21.16,0
-8.62533E+18,832,608,0,246,0,73.08,0,29.57,0
-8.60274E+18,423,349,0,87,0,82.51,0,20.57,0
-8.60267E+18,343856,320852,6180,14891,0,93.31,1.8,4.33,0
-8.59E+18,57,16,0,21,0,28.07,0,36.84,0
-8.58856E+18,12032,11041,669,2222,105,91.76,5.56,18.47,0.87
-8.56301E+18,1243206117,1235070742,311157394,1968472,1497,99.35,25.03,0.16,0
-8.51169E+18,4931,4650,192,520,0,94.3,3.89,10.55,0
-8.44683E+18,3234,2825,50,776,0,87.35,1.55,24,0
-8.43636E+18,5152,2608,0,2151,0,50.62,0,41.75,0
-8.40737E+18,53226934,53202243,41244,31464,0,99.95,0.08,0.06,0
-8.4011E+18,163357,113114,22027,51805,355,69.24,13.48,31.71,0.22
-8.37919E+18,268252,234874,3636,22781,0,87.56,1.36,8.49,0
-8.37879E+18,4282,3803,0,589,0,88.81,0,13.76,0
-8.32942E+18,3843,3478,944,684,0,90.5,24.56,17.8,0
-8.219E+18,186,117,0,86,0,62.9,0,46.24,0
-8.21789E+18,84162,79172,15719,9506,0,94.07,18.68,11.29,0
-8.2154E+18,249,198,25,63,0,79.52,10.04,25.3,0
-8.15569E+18,11271947,11232832,1719555,10405,0,99.65,15.26,0.09,0
-8.13321E+18,54324651,54243041,14938887,61075,95,99.85,27.5,0.11,0
-8.12399E+18,23131207,22882718,5113918,29408,199,98.93,22.11,0.13,0
-8.09675E+18,145,104,0,53,0,71.72,0,36.55,0
-8.06658E+18,3638,2888,314,1100,0,79.38,8.63,30.24,0
-8.04785E+18,63851,58681,16920,6169,0,91.9,26.5,9.66,0
-8.02703E+18,2007,1751,11,434,0,87.24,0.55,21.62,0
-8.00013E+18,45351619,42690613,11695188,41448,670,94.13,25.79,0.09,0
-7.91074E+18,358893,348669,86692,9033,0,97.15,24.16,2.52,0
-7.88639E+18,670326,601603,82508,12161,0,89.75,12.31,1.81,0
-7.87807E+18,94480,89458,420,4532,0,94.68,0.44,4.8,0
-7.87718E+18,17,4,3,12,0,23.53,17.65,70.59,0
-7.86479E+18,1204,716,6,165,0,59.47,0.5,13.7,0
-7.84823E+18,7622,4541,1054,3761,0,59.58,13.83,49.34,0
-7.83748E+18,4,0,0,3,0,0,0,75,0
-7.82599E+18,10,3,1,5,0,30,10,50,0
