Symbol,industry,sector, marketcap 
A,Biotechnology,Health Technology, 24582088720 
AAL,Airlines,Transportation, 14845791360 
AAP,Specialty Stores,Retail Trade, 12205686420 
AAPL,Telecommunications Equipment,Electronic Technology, 963331704000 
ABBV,Pharmaceuticals: Major,Health Technology, 117810149000 
ABC,Medical Distributors,Distribution Services, 15631214500 
ABMD,Medical Specialties,Health Technology, 12394592260 
ABT,Medical Specialties,Health Technology, 137988283200 
ACN,Information Technology Services,Technology Services, 115339341390 
ADBE,Packaged Software,Technology Services, 137582663960 
ADI,Semiconductors,Electronic Technology, 42149854160 
ADM,Agricultural Commodities/Milling,Process Industries, 22913322810 
ADP,Data Processing Services,Technology Services, 71312631000 
ADS,Data Processing Services,Technology Services, 8212293180 
ADSK,Packaged Software,Technology Services, 38855499650 
AEE,Electric Utilities,Utilities, 17714343420 
AEP,Electric Utilities,Utilities, 41798963560 
AES,Electric Utilities,Utilities, 11565573840 
AFL,Life/Health Insurance,Finance, 37090540500 
AGN,Pharmaceuticals: Generic,Health Technology, 48010395020 
AIG,Multi-Line Insurance,Finance, 40051342800 
AIV,Real Estate Investment Trusts,Finance, 7142609660 
AIZ,Specialty Insurance,Finance, 5767977330 
AJG,Insurance Brokers/Services,Finance, 15401458750 
AKAM,Internet Software/Services,Technology Services, 12922157320 
ALB,Chemicals: Specialty,Process Industries, 8000746160 
ALGN,Medical Specialties,Health Technology, 25436492120 
ALK,Airlines,Transportation, 7486812480 
ALL,Property/Casualty Insurance,Finance, 32435386980 
ALLE,Building Products,Producer Manufacturing, 9235831260 
ALXN,Biotechnology,Health Technology, 30175573090 
AMAT,Electronic Production Equipment,Electronic Technology, 42399891380 
AMD,Semiconductors,Electronic Technology, 30153892800 
AME,Miscellaneous Manufacturing,Producer Manufacturing, 19862408700 
AMG,Investment Managers,Finance, 5757727080 
AMGN,Biotechnology,Health Technology, 111776265030 
AMP,Investment Banks/Brokers,Finance, 19854141890 
AMT,Real Estate Investment Trusts,Finance, 85392444070 
AMZN,Internet Retail,Retail Trade, 959813343390 
ANET,Computer Communications,Electronic Technology, 24512522400 
ANSS,Packaged Software,Technology Services, 16326912840 
ANTM,Managed Health Care,Health Services, 68517014400 
AON,Insurance Brokers/Services,Finance, 43343316730 
AOS,Building Products,Producer Manufacturing, 9385214907 
APA,Oil & Gas Production,Energy Minerals, 12427485420 
APC,Integrated Oil,Energy Minerals, 36542542400 
APD,Chemicals: Specialty,Process Industries, 44592341810 
APH,Electronic Components,Electronic Technology, 29787561050 
APTV,Auto Parts: OEM,Producer Manufacturing, 22310842490 
ARE,Real Estate Investment Trusts,Finance, 16189857160 
ARNC,Aluminum,Non-Energy Minerals, 9369756440 
ATO,Gas Distributors,Utilities, 11803451220 
ATVI,Recreational Products,Consumer Durables, 36882755550 
AVB,Real Estate Investment Trusts,Finance, 27809517240 
AVGO,Semiconductors,Electronic Technology, 122874556860 
AVY,Containers/Packaging,Process Industries, 9168172140 
AWK,Water Utilities,Utilities, 19293015680 
AXP,Financial Conglomerates,Finance, 98205525600 
AZO,Specialty Stores,Retail Trade, 25722992400 
BA,Aerospace & Defense,Electronic Technology, 214243877700 
BAC,Major Banks,Finance, 290400636500 
BAX,Medical Specialties,Health Technology, 38936893060 
BBT,Major Banks,Finance, 38855121600 
BBY,Electronics/Appliance Stores,Retail Trade, 19496131200 
BDX,Medical Specialties,Health Technology, 64069281560 
BEN,Investment Managers,Finance, 17820431600 
BF.B,Beverages: Alcoholic,Consumer Non-Durables, 25565002320 
BHGE,Oilfield Services/Equipment,Industrial Services, 26512265530 
BIIB,Biotechnology,Health Technology, 44698153290 
BK,Major Banks,Finance, 46372548310 
BKNG,Other Consumer Services,Consumer Services, 81999596000 
BLK,Investment Managers,Finance, 74397089520 
BLL,Containers/Packaging,Process Industries, 19949949000 
BMY,Pharmaceuticals: Major,Health Technology, 75062731900 
BR,Miscellaneous Commercial Services,Commercial Services, 13642260330 
BRK.B,Multi-Line Insurance,Finance, 526809824000 
BSX,Medical Specialties,Health Technology, 51976890000 
BWA,Auto Parts: OEM,Producer Manufacturing, 8812950320 
BXP,Real Estate Investment Trusts,Finance, 21160829250 
C,Financial Conglomerates,Finance, 160741875000 
CAG,Food: Major Diversified,Consumer Non-Durables, 15058505850 
CAH,Medical Distributors,Distribution Services, 14158787670 
CAT,Trucks/Construction/Farm Machinery,Producer Manufacturing, 80017743290 
CB,Property/Casualty Insurance,Finance, 65518297320 
CBOE,Investment Banks/Brokers,Finance, 11343642750 
CBRE,Real Estate Development,Finance, 17401713750 
CBS,Broadcasting,Consumer Services, 19182233600 
CCI,Real Estate Investment Trusts,Finance, 51588160000 
CCL,Hotels/Resorts/Cruiselines,Consumer Services, 28671231420 
CDNS,Electronic Production Equipment,Electronic Technology, 19171866600 
CE,Chemicals: Major Diversified,Process Industries, 13744998720 
CELG,Biotechnology,Health Technology, 66184839000 
CERN,Information Technology Services,Technology Services, 21109413880 
CF,Chemicals: Agricultural,Process Industries, 10043448520 
CFG,Regional Banks,Finance, 16586378490 
CHD,Household/Personal Care,Consumer Non-Durables, 18228553960 
CHRW,Air Freight/Couriers,Transportation, 12054625840 
CHTR,Cable/Satellite TV,Consumer Services, 83273386170 
CI,Managed Health Care,Health Services, 61104411680 
CINF,Property/Casualty Insurance,Finance, 15374633700 
CL,Household/Personal Care,Consumer Non-Durables, 61212119500 
CLX,Household/Personal Care,Consumer Non-Durables, 20193519840 
CMA,Major Banks,Finance, 12051250000 
CMCSA,Cable/Satellite TV,Consumer Services, 194978545275 
CME,Investment Banks/Brokers,Finance, 64056759390 
CMG,Restaurants,Consumer Services, 18756558060 
CMI,Trucks/Construction/Farm Machinery,Producer Manufacturing, 25722783200 
CMS,Electric Utilities,Utilities, 15578094600 
CNC,Managed Health Care,Health Services, 21753031600 
CNP,Electric Utilities,Utilities, 15278876800 
COF,Major Banks,Finance, 43854486130 
COG,Oil & Gas Production,Energy Minerals, 11286964220 
COO,Medical Specialties,Health Technology, 14234524200 
COP,Oil & Gas Production,Energy Minerals, 71050637200 
COST,Specialty Stores,Retail Trade, 107251541600 
COTY,Household/Personal Care,Consumer Non-Durables, 8459153820 
CPB,Food: Major Diversified,Consumer Non-Durables, 11635199520 
CPRI,Apparel/Footwear Retail,Retail Trade, 6732171030 
CPRT,Miscellaneous Commercial Services,Commercial Services, 15257853160 
CRM,Packaged Software,Technology Services, 128581327080 
CSCO,Computer Communications,Electronic Technology, 245985436400 
CSX,Railroads,Transportation, 64061513880 
CTAS,Other Consumer Services,Consumer Services, 22668901380 
CTL,Specialty Telecommunications,Communications, 12671145200 
CTSH,Information Technology Services,Technology Services, 41767780120 
CTXS,Packaged Software,Technology Services, 13339558980 
CVS,Drugstore Chains,Retail Trade, 69503352000 
CVX,Integrated Oil,Energy Minerals, 223064961000 
CXO,Oil & Gas Production,Energy Minerals, 23692511670 
D,Electric Utilities,Utilities, 61385772420 
DAL,Airlines,Transportation, 37406821560 
DE,Trucks/Construction/Farm Machinery,Producer Manufacturing, 52554529930 
DFS,Finance/Rental/Leasing,Finance, 26487263220 
DG,Discount Stores,Retail Trade, 32464636280 
DGX,Services to the Health Industry,Health Services, 12811312500 
DHI,Homebuilding,Consumer Durables, 16417852000 
DHR,Medical Specialties,Health Technology, 93737238620 
DIS,Media Conglomerates,Consumer Services, 251522990400 
DISCA,Cable/Satellite TV,Consumer Services, 16536920650 
DISCK,Cable/Satellite TV,Consumer Services, 15476794350 
DISH,Cable/Satellite TV,Consumer Services, 16278004706 
DLR,Real Estate Investment Trusts,Finance, 24312291090 
DLTR,Discount Stores,Retail Trade, 26223108680 
DOV,Miscellaneous Manufacturing,Producer Manufacturing, 14101272870 
DOW,Chemicals: Specialty,Process Industries, 41369597750 
DRE,Real Estate Investment Trusts,Finance, 11196553200 
DRI,Restaurants,Consumer Services, 14956341120 
DTE,Electric Utilities,Utilities, 22780580080 
DUK,Electric Utilities,Utilities, 65720986720 
DVA,Medical/Nursing Services,Health Services, 9253504000 
DVN,Oil & Gas Production,Energy Minerals, 13574620570 
DWDP,Chemicals: Major Diversified,Process Industries, 85359780000 
DXC,Data Processing Services,Technology Services, 17437615000 
EA,Recreational Products,Consumer Durables, 28302834120 
EBAY,Other Consumer Services,Consumer Services, 33431775720 
ECL,Chemicals: Specialty,Process Industries, 53316174630 
ED,Electric Utilities,Utilities, 27780686590 
EFX,Miscellaneous Commercial Services,Commercial Services, 15202179900 
EIX,Electric Utilities,Utilities, 20708547160 
EL,Household/Personal Care,Consumer Non-Durables, 37648987500 
EMN,Chemicals: Major Diversified,Process Industries, 11117106000 
EMR,Electrical Products,Producer Manufacturing, 44080546400 
EOG,Oil & Gas Production,Energy Minerals, 56776077040 
EQIX,Real Estate Investment Trusts,Finance, 38087913500 
EQR,Real Estate Investment Trusts,Finance, 28229204400 
ES,Electric Utilities,Utilities, 22534788040 
ESS,Real Estate Investment Trusts,Finance, 18494453880 
ETFC,Investment Banks/Brokers,Finance, 12295958220 
ETN,Electrical Products,Producer Manufacturing, 35537160710 
ETR,Electric Utilities,Utilities, 18119411100 
EVRG,Electric Utilities,Utilities, 14412265240 
EW,Medical Specialties,Health Technology, 36652157080 
EXC,Electric Utilities,Utilities, 48702893890 
EXPD,Air Freight/Couriers,Transportation, 13624822960 
EXPE,Other Consumer Services,Consumer Services, 19005832992 
EXR,Real Estate Investment Trusts,Finance, 13188573120 
F,Motor Vehicles,Consumer Durables, 41532672900 
FANG,Oil & Gas Production,Energy Minerals, 17623394220 
FAST,Wholesale Distributors,Distribution Services, 20408533200 
FB,Internet Software/Services,Technology Services, 546615864600 
FBHS,Building Products,Producer Manufacturing, 7376162640 
FCX,Precious Metals,Non-Energy Minerals, 18113250000 
FDX,Air Freight/Couriers,Transportation, 47956223000 
FE,Electric Utilities,Utilities, 22044214160 
FFIV,Computer Communications,Electronic Technology, 9543439650 
FIS,Data Processing Services,Technology Services, 35852639200 
FISV,Data Processing Services,Technology Services, 33472552560 
FITB,Regional Banks,Finance, 20999130400 
FL,Apparel/Footwear Retail,Retail Trade, 6664534740 
FLIR,Aerospace & Defense,Electronic Technology, 6988137890 
FLR,Engineering & Construction,Industrial Services, 5548021920 
FLS,Industrial Machinery,Producer Manufacturing, 6433126070 
FLT,Miscellaneous Commercial Services,Commercial Services, 22140202460 
FMC,Chemicals: Agricultural,Process Industries, 10461519920 
FOX,Broadcasting,Consumer Services, 23523230820 
FOXA,Broadcasting,Consumer Services, 23876916960 
FRC,Regional Banks,Finance, 17526107160 
FRT,Real Estate Investment Trusts,Finance, 10088752140 
FTI,Oilfield Services/Equipment,Industrial Services, 11248723710 
FTNT,Computer Communications,Electronic Technology, 15872374680 
FTV,Electronic Equipment/Instruments,Electronic Technology, 28556141040 
GD,Aerospace & Defense,Electronic Technology, 51439437040 
GE,Industrial Conglomerates,Producer Manufacturing, 83351254800 
GILD,Biotechnology,Health Technology, 83059735000 
GIS,Food: Major Diversified,Consumer Non-Durables, 30592232190 
GLW,Electronic Components,Electronic Technology, 26422619350 
GM,Motor Vehicles,Consumer Durables, 56378534400 
GOOG,Internet Software/Services,Technology Services, 884530215660 
GOOGL,Internet Software/Services,Technology Services, 888173519540 
GPC,Wholesale Distributors,Distribution Services, 15129309120 
GPN,Data Processing Services,Technology Services, 22870886500 
GPS,Apparel/Footwear Retail,Retail Trade, 9922586520 
GRMN,Telecommunications Equipment,Electronic Technology, 16288872600 
GS,Investment Banks/Brokers,Finance, 74482230040 
GWW,Wholesale Distributors,Distribution Services, 16184658040 
HAL,Oilfield Services/Equipment,Industrial Services, 25179241400 
HAS,Recreational Products,Consumer Durables, 12926032230 
HBAN,Regional Banks,Finance, 14378085600 
HBI,Apparel/Footwear,Consumer Non-Durables, 6788425380 
HCA,Hospital/Nursing Management,Health Services, 43127931600 
HCP,Real Estate Investment Trusts,Finance, 14457322000 
HD,Home Improvement Chains,Retail Trade, 224528891400 
HES,Oil & Gas Production,Energy Minerals, 19348720900 
HFC,Oil Refining/Marketing,Energy Minerals, 8292348400 
HIG,Multi-Line Insurance,Finance, 18599805960 
HII,Aerospace & Defense,Electronic Technology, 9228691780 
HLT,Hotels/Resorts/Cruiselines,Consumer Services, 25724970960 
HOG,Motor Vehicles,Consumer Durables, 5901306420 
HOLX,Medical Specialties,Health Technology, 12190704120 
HON,Industrial Conglomerates,Producer Manufacturing, 125353559500 
HP,Contract Drilling,Industrial Services, 6488042100 
HPE,Computer Processing Hardware,Electronic Technology, 21610892600 
HPQ,Computer Processing Hardware,Electronic Technology, 29765235000 
HRB,Other Consumer Services,Consumer Services, 5454351190 
HRL,Food: Meat/Fish/Dairy,Consumer Non-Durables, 21394899440 
HRS,Telecommunications Equipment,Electronic Technology, 19634608450 
HSIC,Medical Distributors,Distribution Services, 9636395370 
HST,Real Estate Investment Trusts,Finance, 14200622660 
HSY,Food: Specialty/Candy,Consumer Non-Durables, 26135468087 
HUM,Managed Health Care,Health Services, 34994604000 
IBM,Information Technology Services,Technology Services, 124082915040 
ICE,Investment Banks/Brokers,Finance, 45931050370 
IDXX,Medical Specialties,Health Technology, 20002881150 
IFF,Household/Personal Care,Consumer Non-Durables, 14669776950 
ILMN,Biotechnology,Health Technology, 46163880000 
INCY,Biotechnology,Health Technology, 16076302950 
INFO,Financial Publishing/Services,Commercial Services, 22613744360 
INTC,Semiconductors,Electronic Technology, 234729110000 
INTU,Packaged Software,Technology Services, 65695731340 
IP,Containers/Packaging,Process Industries, 18464571090 
IPG,Advertising/Marketing Services,Commercial Services, 9073954050 
IPGP,Electronic Equipment/Instruments,Electronic Technology, 9230170400 
IQV,Services to the Health Industry,Health Services, 27409061800 
IR,Industrial Conglomerates,Producer Manufacturing, 27273988080 
IRM,Real Estate Investment Trusts,Finance, 9304408360 
ISRG,Medical Specialties,Health Technology, 59930730390 
IT,Miscellaneous Commercial Services,Commercial Services, 14291097120 
ITW,Industrial Machinery,Producer Manufacturing, 50211489210 
IVZ,Investment Managers,Finance, 8726678660 
JBHT,Trucking,Transportation, 10691218480 
JCI,Miscellaneous Commercial Services,Commercial Services, 33943796470 
JEC,Engineering & Construction,Industrial Services, 11019052660 
JEF,Investment Banks/Brokers,Finance, 5947059540 
JKHY,Information Technology Services,Technology Services, 11433000780 
JNJ,Pharmaceuticals: Major,Health Technology, 373826280300 
JNPR,Computer Communications,Electronic Technology, 9499623120 
JPM,Major Banks,Finance, 371782534200 
JWN,Apparel/Footwear Retail,Retail Trade, 6413504670 
K,Food: Major Diversified,Consumer Non-Durables, 20416908600 
KEY,Major Banks,Finance, 17627155000 
KEYS,Electronic Equipment/Instruments,Electronic Technology, 16144495320 
KHC,Food: Major Diversified,Consumer Non-Durables, 40314355800 
KIM,Real Estate Investment Trusts,Finance, 7515802190 
KLAC,Electronic Production Equipment,Electronic Technology, 20587294560 
KMB,Household/Personal Care,Consumer Non-Durables, 43228783300 
KMI,Oil & Gas Pipelines,Industrial Services, 45795460200 
KMX,Specialty Stores,Retail Trade, 12957600390 
KO,Beverages: Non-Alcoholic,Consumer Non-Durables, 205882468600 
KR,Food Retail,Retail Trade, 19958175000 
KSS,Department Stores,Retail Trade, 11814850060 
KSU,Railroads,Transportation, 12524087370 
L,Property/Casualty Insurance,Finance, 15375101820 
LB,Apparel/Footwear Retail,Retail Trade, 7202324210 
LEG,Home Furnishings,Consumer Durables, 5512636220 
LEN,Homebuilding,Consumer Durables, 16814795250 
LH,Services to the Health Industry,Health Services, 15257592360 
LIN,Chemicals: Specialty,Process Industries, 97135656600 
LKQ,Automotive Aftermarket,Consumer Durables, 9431778960 
LLL,Aerospace & Defense,Electronic Technology, 17085244150 
LLY,Pharmaceuticals: Major,Health Technology, 124163743400 
LMT,Aerospace & Defense,Electronic Technology, 92854350640 
LNC,Life/Health Insurance,Finance, 13505642280 
LNT,Electric Utilities,Utilities, 11101327020 
LOW,Home Improvement Chains,Retail Trade, 89525419040 
LRCX,Electronic Production Equipment,Electronic Technology, 30934971540 
LUV,Airlines,Transportation, 28961411040 
LW,Food: Specialty/Candy,Consumer Non-Durables, 10193835060 
LYB,Chemicals: Specialty,Process Industries, 32592215240 
M,Department Stores,Retail Trade, 7478484640 
MA,Finance/Rental/Leasing,Finance, 253071825139 
MAA,Real Estate Investment Trusts,Finance, 12410811240 
MAC,Real Estate Investment Trusts,Finance, 6224610270 
MAR,Hotels/Resorts/Cruiselines,Consumer Services, 45941896300 
MAS,Building Products,Producer Manufacturing, 11295765520 
MAT,Recreational Products,Consumer Durables, 4193459500 
MCD,Restaurants,Consumer Services, 150728985480 
MCHP,Semiconductors,Electronic Technology, 23320119290 
MCK,Medical Distributors,Distribution Services, 22554783500 
MCO,Financial Publishing/Services,Commercial Services, 37078176000 
MDLZ,Food: Major Diversified,Consumer Non-Durables, 72706767500 
MDT,Medical Specialties,Health Technology, 117149452500 
MET,Life/Health Insurance,Finance, 43172922100 
MGM,Casinos/Gaming,Consumer Services, 15200120270 
MHK,Home Furnishings,Consumer Durables, 9197594000 
MKC,Food: Specialty/Candy,Consumer Non-Durables, 20175949880 
MLM,Construction Materials,Non-Energy Minerals, 13388000120 
MMC,Insurance Brokers/Services,Finance, 47497859960 
MMM,Industrial Conglomerates,Producer Manufacturing, 110483763090 
MNST,Beverages: Non-Alcoholic,Consumer Non-Durables, 32424189100 
MO,Tobacco,Consumer Non-Durables, 98765866800 
MOS,Chemicals: Agricultural,Process Industries, 10099877480 
MPC,Oil Refining/Marketing,Energy Minerals, 40621393890 
MRK,Pharmaceuticals: Major,Health Technology, 197940654100 
MRO,Oil & Gas Production,Energy Minerals, 14247898060 
MS,Investment Banks/Brokers,Finance, 80742540000 
MSCI,Financial Publishing/Services,Commercial Services, 19058684460 
MSFT,Packaged Software,Technology Services, 995323689800 
MSI,Aerospace & Defense,Electronic Technology, 24049678060 
MTB,Regional Banks,Finance, 23090337684 
MTD,Medical Specialties,Health Technology, 18304364100 
MU,Semiconductors,Electronic Technology, 46591649000 
MXIM,Semiconductors,Electronic Technology, 16275382940 
MYL,Pharmaceuticals: Generic,Health Technology, 13942662240 
NBL,Oil & Gas Production,Energy Minerals, 13095454720 
NCLH,Hotels/Resorts/Cruiselines,Consumer Services, 12335213490 
NDAQ,Investment Banks/Brokers,Finance, 14864371620 
NEE,Electric Utilities,Utilities, 91816628850 
NEM,Precious Metals,Non-Energy Minerals, 16757766740 
NFLX,Cable/Satellite TV,Consumer Services, 163891917000 
